uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
9.405,0.018,9.19,0.029,8.906,0.024,
9.405,0.018,9.244,0.029,8.941,0.024,
9.5,0.018,9.287,0.029,8.986,0.024,
9.59,0.018,9.342,0.029,9.027,0.024,
9.675,0.018,9.412,0.029,9.073,0.024,
9.755,0.018,9.482,0.029,9.142,0.024,
9.83,0.018,9.529,0.029,9.187,0.024,
9.9,0.018,9.601,0.029,9.225,0.024,
9.965,0.018,9.66,0.029,9.247,0.024,
10.025,0.018,9.715,0.029,9.303,0.024,
10.08,0.018,9.768,0.029,9.326,0.024,
10.13,0.018,9.807,0.029,9.361,0.027,
10.175,0.018,9.846,0.029,9.399,0.031,
10.215,0.018,9.869,0.029,9.43,0.024,
10.25,0.018,9.902,0.029,9.472,0.024,
10.28,0.013,9.93,0.029,9.509,0.024,
10.305,0.013,9.967,0.029,9.55,0.024,
10.325,0.013,10.014,0.022,9.576,0.024,
10.34,0.013,10.047,0.022,9.606,0.024,
10.35,0.013,10.093,0.022,9.648,0.03,
10.355,0.018,10.138,0.022,9.678,0.03,
10.355,0.018,10.17,0.022,9.699,0.03,
10.45,0.018,10.206,0.022,9.738,0.03,
10.54,0.018,10.246,0.022,9.753,0.03,
10.625,0.018,10.305,0.022,9.802,0.03,
10.705,0.018,10.35,0.022,9.83,0.03,
10.78,0.018,10.405,0.022,9.866,0.03,
10.85,0.018,10.449,0.022,9.903,0.03,
10.915,0.018,10.518,0.022,9.93,0.03,
10.975,0.018,10.563,0.022,9.963,0.03,
11.03,0.018,10.608,0.022,9.996,0.027,
11.08,0.018,10.673,0.022,10.059,0.027,
11.125,0.018,10.724,0.022,10.082,0.027,
11.165,0.018,10.773,0.022,10.127,0.027,
11.2,0.018,10.827,0.022,10.189,0.027,
11.23,0.013,10.858,0.02,10.211,0.027,
11.255,0.013,10.889,0.02,10.241,0.03,
11.275,0.013,10.927,0.02,10.289,0.03,
11.29,0.013,10.967,0.02,10.332,0.03,
11.3,0.013,11.003,0.02,10.375,0.03,
11.305,0.018,11.031,0.02,10.405,0.034,
11.305,0.018,11.07,0.02,10.437,0.031,
11.4,0.018,11.098,0.02,10.475,0.034,
11.49,0.018,11.142,0.02,10.52,0.025,
11.575,0.018,11.187,0.02,10.547,0.025,
11.655,0.018,11.251,0.02,10.601,0.021,
11.73,0.018,11.306,0.02,10.648,0.021,
11.8,0.018,11.344,0.02,10.7,0.021,
11.865,0.018,11.404,0.02,10.735,0.025,
11.925,0.018,11.448,0.027,10.779,0.029,
11.98,0.018,11.508,0.02,10.801,0.029,
12.03,0.018,11.554,0.02,10.837,0.021,
12.075,0.018,11.604,0.02,10.862,0.013,
12.115,0.018,11.659,0.02,10.897,0.021,
